Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
derkodierer,1,1.0,30000.0,1,30000.0,0.0
Ebenezer,1,1.0,5000.0,1,5000.0,0.0
P2P-17fcd4oz,1,1.0,171.4,1,171.4,0.0
Angela,1,1.0,5000.0,1,5000.0,0.0
P2P-d262c0he,1,1.0,53314.6,1,53314.6,0.0
P2P-c6528csm,1,1.0,38072.35,1,38072.35,0.0
AgustinMoreira,1,1.0,5000.0,1,5000.0,0.0
P2P-86f714gg,1,1.0,10000.0,1,10000.0,0.0
P2P-425d58sx,1,1.0,21870.0,1,21870.0,0.0
P2P-2815b9b6,1,1.0,11381.44,1,11381.44,0.0
P2P-b8ea48es,1,1.0,500.0,1,500.0,0.0
P2P-990840cs,1,1.0,10000.0,1,10000.0,0.0
deoh23,1,1.0,45250.0,1,45250.0,0.0
Franchoo01,1,2.0,995.26,2,995.26,17.0
P2P-2efb3agn,1,1.0,117000.0,1,117000.0,0.0
P2P-cb4aacxy,1,1.0,6585.0,1,6585.0,0.0
P2P-fc7eeeq9,1,1.0,28365.0,1,28365.0,0.0
Andresovich,1,1.0,518.0,1,518.0,0.0
P2P-616866pt,1,1.0,19750.0,1,19750.0,0.0
P2P-316feaqf,1,2.0,75683.2,2,75683.2,14.883333333333333
JaviCambio,1,1.0,10982.25,1,10982.25,0.0
hrgonzalez7,1,1.0,300.0,1,300.0,0.0
P2P-2d5b05es,1,1.0,30414.1,1,30414.1,0.0
Lorenzetti-17,1,1.0,15254.66,1,15254.66,0.0
pabliito07,1,1.0,4480.0,1,4480.0,0.0
P2P-3804d0yt,1,1.0,13800.0,1,13800.0,0.0
P2P-718b41ol,1,1.0,241.75,1,241.75,0.0
P2P-b4c861qe,1,1.0,17218.15,1,17218.15,0.0
P2P-e982859p,1,1.0,15764.0,1,15764.0,0.0
P2P-500294mc,1,1.0,74586.0,1,74586.0,0.0
P2P-8f067ehp,1,1.0,19500.0,1,19500.0,0.0
andrewbit,1,1.0,5531.0,1,5531.0,0.0
P2P-3b608b66,1,1.0,12576.22,1,12576.22,0.0
P2P-4b523csi,1,1.0,110.0,1,110.0,0.0
