Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-6d8f04rk,SantanderUrug,1,27450.0,27450.0,1,27450.0,100.0,100.0
P2P-6dca87kb,SantanderUrug,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-6e9da4qu,ItauUruguay,1,100000.0,100000.0,1,100000.0,100.0,100.0
P2P-701a759w,BankRepublicUruguay,1,300.0,300.0,1,300.0,100.0,100.0
P2P-7028feyo,OcaBlue,1,119.35,119.35,1,119.35,100.0,100.0
P2P-718b41ol,BankRepublicUruguay,1,241.75,241.75,1,241.75,100.0,100.0
P2P-71d437r8,SantanderUrug,1,22000.0,22000.0,1,22000.0,100.0,100.0
P2P-72528fj9,SantanderUrug,1,105718.14,105718.14,1,105718.14,100.0,100.0
P2P-72d623yb,ItauUruguay,1,53709.82,53709.82,1,53709.82,100.0,100.0
P2P-74756e3n,SantanderUrug,1,37500.0,37500.0,1,37500.0,100.0,100.0
P2P-756ddemc,SantanderUrug,1,4000.0,4000.0,2,17000.0,50.0,23.52941176470588
P2P-756ddemc,BBVAUruguay,1,13000.0,13000.0,2,17000.0,50.0,76.47058823529412
P2P-76b381xc,OcaBlue,2,30551.0,15275.5,2,30551.0,100.0,100.0
P2P-77c976xy,OcaBlue,1,22793.94,22793.94,1,22793.94,100.0,100.0
P2P-7853865x,OcaBlue,1,20310.23,20310.23,1,20310.23,100.0,100.0
P2P-798968e1,ItauUruguay,1,15057.41,15057.41,1,15057.41,100.0,100.0
P2P-79dedcwc,BankRepublicUruguay,1,46953.0,46953.0,1,46953.0,100.0,100.0
P2P-7aa470an,ItauUruguay,1,189.31,189.31,1,189.31,100.0,100.0
P2P-7af467qs,SantanderUrug,2,3500.0,1750.0,2,3500.0,100.0,100.0
P2P-7b4cc2q5,ItauUruguay,2,24157.0,12078.5,2,24157.0,100.0,100.0
P2P-7d10eehy,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-7d4ea08o,SantanderUrug,1,8700.0,8700.0,2,17500.0,50.0,49.714285714285715
P2P-7d4ea08o,BBVAUruguay,1,8800.0,8800.0,2,17500.0,50.0,50.28571428571429
P2P-7d6773bi,OcaBlue,1,12000.0,12000.0,1,12000.0,100.0,100.0
P2P-7e01fcy9,ItauUruguay,1,9000.0,9000.0,1,9000.0,100.0,100.0
P2P-805322it,SantanderUrug,2,310.65999999999997,155.32999999999998,2,310.65999999999997,100.0,100.0
P2P-80bba97v,OcaBlue,1,5000.0,5000.0,1,5000.0,100.0,100.0
P2P-81f0e1ru,ItauUruguay,1,9242.0,9242.0,1,9242.0,100.0,100.0
P2P-841799ih,ItauUruguay,1,109.71,109.71,1,109.71,100.0,100.0
P2P-8459c8gv,ScotiabankUruguay,1,36885.0,36885.0,1,36885.0,100.0,100.0
P2P-850fa7su,OcaBlue,1,10230.12,10230.12,1,10230.12,100.0,100.0
