Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
P2P-58e04dzw,2025-03,1,413.09,413.09,1
P2P-5b2530bj,2025-03,1,6056.23,6056.23,1
P2P-5c9cd3eq,2025-04,1,1299.73,1299.73,1
P2P-5cee5cyo,2025-05,1,6146.79,6146.79,1
P2P-5d1cfc18,2025-04,2,46850.0,23425.0,1
P2P-5d7a64dj,2025-04,2,584.75,292.375,1
P2P-5dcb70xu,2025-03,1,38355.86,38355.86,1
P2P-5ddaa7qs,2025-05,1,4154.92,4154.92,1
P2P-5de988uv,2025-04,1,26726.22,26726.22,1
P2P-5de988uv,2025-05,1,100.0,100.0,1
P2P-5f308diy,2025-04,1,13718.95,13718.95,1
P2P-5f6ce2pi,2025-03,1,20000.0,20000.0,1
P2P-5ff10350,2025-05,1,22000.0,22000.0,1
P2P-610493l6,2025-04,2,79463.16,39731.58,1
P2P-616866pt,2025-05,1,19750.0,19750.0,1
P2P-617b67s9,2025-04,1,22462.07,22462.07,1
P2P-62b1d38x,2025-04,1,23402.34,23402.34,1
P2P-63b24ckm,2025-05,1,21000.0,21000.0,1
P2P-63e1aaj2,2025-04,2,21080.940000000002,10540.470000000001,1
P2P-641ec0rg,2025-04,1,13822.57,13822.57,1
P2P-64f581sr,2025-03,1,13306.41,13306.41,1
P2P-688f27in,2025-04,1,18932.03,18932.03,1
P2P-6a1e99fc,2025-05,1,36000.0,36000.0,1
P2P-6a9e59sy,2025-03,1,4494.5,4494.5,1
P2P-6aed9d74,2025-03,1,10000.0,10000.0,1
P2P-6b3180cp,2025-03,1,940.69,940.69,1
P2P-6b3180cp,2025-04,2,2608.48,1304.24,1
P2P-6b396dkn,2025-04,1,55802.25,55802.25,1
P2P-6b5571x4,2025-05,1,1500.0,1500.0,1
P2P-6ba210ay,2025-03,2,18000.0,9000.0,1
P2P-6bd909ei,2025-04,1,66000.0,66000.0,1
P2P-6c79d2ws,2025-04,1,14704.85,14704.85,1
P2P-6ca905rk,2025-04,1,36270.9,36270.9,1
P2P-6cc015hc,2025-03,1,15000.0,15000.0,1
P2P-6d8bf5k5,2025-05,1,325.01,325.01,1
P2P-6d8f04rk,2025-04,1,27450.0,27450.0,1
P2P-6dca87kb,2025-04,1,15000.0,15000.0,1
P2P-6e9da4qu,2025-04,1,100000.0,100000.0,1
P2P-701a759w,2025-04,1,300.0,300.0,1
P2P-7028feyo,2025-05,1,119.35,119.35,1
P2P-718b41ol,2025-03,1,241.75,241.75,1
P2P-71d437r8,2025-05,1,22000.0,22000.0,1
P2P-72528fj9,2025-05,1,105718.14,105718.14,1
P2P-72d623yb,2025-04,1,53709.82,53709.82,1
P2P-74756e3n,2025-04,1,37500.0,37500.0,1
P2P-756ddemc,2025-04,2,17000.0,8500.0,2
P2P-76b381xc,2025-03,1,20551.0,20551.0,1
P2P-76b381xc,2025-04,1,10000.0,10000.0,1
P2P-77c976xy,2025-04,1,22793.94,22793.94,1
P2P-7853865x,2025-04,1,20310.23,20310.23,1
P2P-798968e1,2025-03,1,15057.41,15057.41,1
P2P-79dedcwc,2025-05,1,46953.0,46953.0,1
P2P-7aa470an,2025-03,1,189.31,189.31,1
P2P-7af467qs,2025-05,2,3500.0,1750.0,1
P2P-7b4cc2q5,2025-03,1,20000.0,20000.0,1
P2P-7b4cc2q5,2025-05,1,4157.0,4157.0,1
P2P-7d10eehy,2025-05,1,5000.0,5000.0,1
P2P-7d4ea08o,2025-05,2,17500.0,8750.0,2
P2P-7d6773bi,2025-05,1,12000.0,12000.0,1
P2P-7e01fcy9,2025-05,1,9000.0,9000.0,1
P2P-805322it,2025-03,1,108.09,108.09,1
P2P-805322it,2025-04,1,202.57,202.57,1
P2P-80bba97v,2025-05,1,5000.0,5000.0,1
P2P-81f0e1ru,2025-04,1,9242.0,9242.0,1
P2P-841799ih,2025-03,1,109.71,109.71,1
P2P-8459c8gv,2025-04,1,36885.0,36885.0,1
P2P-850fa7su,2025-04,1,10230.12,10230.12,1
P2P-85f40bca,2025-05,3,43050.0,14350.0,1
P2P-863acelf,2025-04,3,90000.0,30000.0,2
P2P-86b252c6,2025-05,1,499.94,499.94,1
P2P-86f714gg,2025-04,1,10000.0,10000.0,1
P2P-883adezd,2025-05,1,7150.0,7150.0,1
P2P-88fb85ju,2025-04,1,55883.3,55883.3,1
P2P-898704yt,2025-04,1,19900.0,19900.0,1
P2P-8aa8aepp,2025-03,2,40000.0,20000.0,1
P2P-8d106fyd,2025-05,1,200.0,200.0,1
P2P-8d6bff1l,2025-03,2,43850.0,21925.0,1
P2P-8d9de39a,2025-05,1,10777.15,10777.15,1
P2P-8dfecavb,2025-04,2,42019.65,21009.825,1
P2P-8ee834xt,2025-04,2,26278.33,13139.165,2
P2P-8efc2bzm,2025-05,1,503.94,503.94,1
P2P-8f067ehp,2025-05,1,19500.0,19500.0,1
P2P-9003fcxt,2025-04,2,15000.0,7500.0,1
P2P-9003fcxt,2025-05,1,8500.0,8500.0,1
P2P-901346g0,2025-04,2,36057.14,18028.57,1
P2P-9102c9uz,2025-03,1,22459.0,22459.0,1
P2P-91057azg,2025-04,1,14063.34,14063.34,1
P2P-910f6dcw,2025-04,1,23008.24,23008.24,1
P2P-91cd57bv,2025-04,2,135881.94,67940.97,1
