Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-17e72ffv,4,64442.619999999995,16110.654999999999,16110.654999999999,1390.6399999999999,46.34,0.0,2025-04-06T17:48:48.000000-0300,2025-04-06T18:35:20.000000-0300,1,1,0,4.0,64442.619999999995,0.0,true,true,true,false,72.0,Gold
P2P-1592ddyd,2,59800.0,29900.0,29900.0,1346.84,44.4,0.0,2025-03-24T14:49:04.000000-0300,2025-03-24T15:23:36.000000-0300,1,1,0,2.0,59800.0,0.0,true,true,true,false,72.0,Gold
P2P-53408c34,3,49022.549999999996,16340.849999999999,21604.92,1104.15,44.35,0.13228756555322738,2025-03-22T14:41:57.000000-0300,2025-03-24T15:30:14.000000-0300,1,1,2,1.0,16340.849999999999,0.0029828086934211356,false,true,false,false,67.14124773815318,Gold
P2P-2912c707,3,48500.0,16166.666666666666,15000.0,1132.6000000000001,42.81999999999999,0.017320508075690456,2025-05-20T22:49:57.000000-0300,2025-05-23T23:05:45.000000-0300,1,1,3,0.75,12125.0,0.00040449575141733905,false,true,false,false,66.82262648877185,Gold
P2P-cb8617ez,2,47526.48,23763.24,23763.24,1015.0999999999999,46.86,0.09899494936611705,2025-04-14T15:18:25.000000-0300,2025-04-14T17:46:15.000000-0300,1,1,0,2.0,47526.48,0.002112568274991828,false,true,true,false,65.96256266621218,Gold
P2P-9270afkm,2,47000.0,23500.0,23500.0,1040.96,45.15,0.0,2025-04-02T19:35:54.000000-0300,2025-04-02T19:44:41.000000-0300,1,1,0,2.0,47000.0,0.0,false,true,true,false,65.58633850670137,Gold
P2P-5d1cfc18,2,46850.0,23425.0,23425.0,1002.3399999999999,46.74,0.0,2025-04-14T19:51:12.000000-0300,2025-04-14T20:15:40.000000-0300,1,1,0,2.0,46850.0,0.0,false,true,true,false,65.4791480646587,Gold
P2P-5190edir,2,45914.69,22957.345,22957.345,1020.1,45.01,0.1979898987322341,2025-04-02T18:58:01.000000-0300,2025-04-02T19:18:19.000000-0300,1,1,0,2.0,45914.69,0.0043987980167126,false,true,true,false,64.81077278234588,Gold
P2P-dbfd03lh,2,44800.0,22400.0,22400.0,979.77,45.72,1.4424978336205587,2025-04-01T19:12:34.000000-0300,2025-04-14T21:09:36.000000-0300,1,1,13,0.14285714285714285,3200.0,0.03155069627341554,false,true,false,false,64.72654079053225,Gold
P2P-a07dd4pq,2,44892.579999999994,22446.289999999997,22446.29,965.0999999999999,45.834999999999994,1.4637110370561561,2025-04-01T20:38:12.000000-0300,2025-04-08T19:08:39.000000-0300,1,1,6,0.2857142857142857,6413.225714285713,0.03193435228659663,false,true,false,false,64.40913708752535,Gold
BruceR25,2,44869.020000000004,22434.510000000002,22434.510000000002,1002.1,44.775,0.03535533905932537,2025-04-01T18:57:35.000000-0300,2025-04-01T20:50:56.000000-0300,1,1,0,2.0,44869.020000000004,0.0007896223128827553,false,true,true,false,64.06353391880754,Gold
P2P-eadba4ij,2,44639.1,22319.55,22319.55,1002.0,44.55,0.0,2025-04-03T16:01:47.000000-0300,2025-04-03T16:21:59.000000-0300,1,1,0,2.0,44639.1,0.0,false,true,true,false,63.89923240924453,Gold
P2P-bbd542yf,2,44004.4,22002.2,22002.2,1000.1,44.0,0.0,2025-05-05T17:32:04.000000-0300,2025-05-05T17:48:33.000000-0300,1,1,0,2.0,44004.4,0.0,false,true,true,false,63.44567391881468,Gold
P2P-dd5062pq,2,44000.0,22000.0,22000.0,995.24,44.21,0.0,2025-04-30T17:56:45.000000-0300,2025-04-30T19:11:16.000000-0300,1,1,0,2.0,44000.0,0.0,false,true,true,false,63.442529665848085,Gold
P2P-8d6bff1l,2,43850.0,21925.0,21925.0,990.28,44.28,0.0,2025-03-31T13:17:10.000000-0300,2025-03-31T13:48:38.000000-0300,1,1,0,2.0,43850.0,0.0,false,true,true,false,63.33533922380543,Gold
P2P-85f40bca,3,43050.0,14350.0,12800.0,998.0999999999999,43.11666666666667,0.11547005383792576,2025-05-15T12:25:03.000000-0300,2025-05-24T20:01:08.000000-0300,1,1,9,0.3,4305.0,0.002678083969955758,false,true,false,false,63.25680755117606,Gold
Elhombregsto,2,40000.0,20000.0,20000.0,855.1500000000001,46.775,0.03535533905932537,2025-04-09T15:33:29.000000-0300,2025-04-09T16:00:50.000000-0300,2,1,0,2.0,40000.0,0.0007558597340315419,false,true,true,false,62.58411787804371,Gold
P2P-f75848v6,2,42620.0,21310.0,21310.0,902.2,47.24,0.0,2025-04-13T20:18:20.000000-0300,2025-04-13T20:27:39.000000-0300,1,1,0,2.0,42620.0,0.0,false,true,true,false,62.456377599055585,Gold
P2P-8dfecavb,2,42019.65,21009.825,21009.825,900.0999999999999,46.655,0.12020815280171429,2025-04-14T19:34:29.000000-0300,2025-04-15T12:45:40.000000-0300,1,1,0,2.0,42019.65,0.0025765331218886357,false,true,true,false,62.02736571985349,Gold
CRYPTOURU,4,37000.0,9250.0,10000.0,843.8100000000001,43.8975,0.9978435081046855,2025-03-16T14:04:52.000000-0300,2025-05-16T20:58:47.000000-0300,1,1,61,0.06451612903225806,596.7741935483871,0.022731214946288183,false,true,false,true,61.78277479061509,Gold
P2P-29ba96rr,2,41300.0,20650.0,20650.0,911.69,45.3,0.0,2025-03-24T16:10:06.000000-0300,2025-03-24T16:47:28.000000-0300,1,1,0,2.0,41300.0,0.0,false,true,true,false,61.51310170908014,Gold
RAMZEZERG,2,40000.0,20000.0,20000.0,895.24,44.68,0.0,2025-04-02T16:22:39.000000-0300,2025-04-02T16:38:54.000000-0300,1,1,0,2.0,40000.0,0.0,false,true,true,false,60.58411787804371,Gold
P2P-8aa8aepp,2,40000.0,20000.0,20000.0,908.06,44.05,0.21213203435596978,2025-03-31T11:59:26.000000-0300,2025-03-31T15:12:16.000000-0300,1,1,0,2.0,40000.0,0.004815710201043582,false,true,true,false,60.58411787804371,Gold
P2P-03da539f,2,37131.0,18565.5,18565.5,801.42,46.335,0.007071067811869092,2025-04-06T16:56:47.000000-0300,2025-04-06T17:28:11.000000-0300,2,1,0,2.0,37131.0,0.00015260748487901354,false,true,true,false,60.53392202324103,Gold
P2P-da5414sr,2,35900.0,17950.0,17950.0,805.01,44.595,0.13435028842544242,2025-03-25T12:30:26.000000-0300,2025-03-25T15:50:27.000000-0300,2,1,0,2.0,35900.0,0.003012676049454926,false,true,true,false,59.65424579554424,Silver
P2P-901346g0,2,36057.14,18028.57,18028.57,778.1,46.34,0.0,2025-04-06T18:25:57.000000-0300,2025-04-06T18:58:56.000000-0300,1,1,0,2.0,36057.14,0.0,false,true,true,false,57.76653850262814,Silver
