Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-db68f5rk,ItauUruguay,3,697.19,232.39666666666668,3,697.19,100.0,100.0
P2P-e30816to,ItauUruguay,1,8854.41,8854.41,1,8854.41,100.0,100.0
P2P-e982859p,ItauUruguay,1,15764.0,15764.0,1,15764.0,100.0,100.0
P2P-eaaa84sr,OcaBlue,1,131.0,131.0,1,131.0,100.0,100.0
P2P-eadba4ij,ItauUruguay,1,22319.55,22319.55,1,22319.55,100.0,100.0
P2P-ebb3acrk,SantanderUrug,1,675.25,675.25,1,675.25,100.0,100.0
P2P-ed4f615u,SantanderUrug,1,901.91,901.91,1,901.91,100.0,100.0
P2P-f75848v6,ItauUruguay,1,21310.0,21310.0,1,21310.0,100.0,100.0
P2P-f82ccbmg,SantanderUrug,1,2813.73,2813.73,1,2813.73,100.0,100.0
Papi Greco,ItauUruguay,2,745.94,372.97,2,745.94,100.0,100.0
Perritomalvado,BBVAUruguay,1,109.39,109.39,1,109.39,100.0,100.0
RAMZEZERG,SantanderUrug,1,20000.0,20000.0,1,20000.0,100.0,100.0
Rodusdt,OcaBlue,1,9038.25,9038.25,1,9038.25,100.0,100.0
Ronuk,SantanderUrug,1,33512.23,33512.23,1,33512.23,100.0,100.0
SEBROS,ScotiabankUruguay,1,2102.37,2102.37,1,2102.37,100.0,100.0
SebaCripto,SantanderUrug,1,341.12,341.12,1,341.12,100.0,100.0
Shorminoguez,BankRepublicUruguay,3,1085.0600000000002,361.6866666666667,3,1085.0600000000002,100.0,100.0
Sllns,BankRepublicUruguay,1,281.65,281.65,1,281.65,100.0,100.0
Visequera,SantanderUrug,1,1000.0,1000.0,1,1000.0,100.0,100.0
Yolicm2,ItauUruguay,1,140.0,140.0,1,140.0,100.0,100.0
andrewbit,ItauUruguay,1,5531.0,5531.0,1,5531.0,100.0,100.0
el_carpincho,SantanderUrug,2,5000.0,2500.0,2,5000.0,100.0,100.0
emilianochinelli,SantanderUrug,3,1195.06,398.3533333333333,5,4169.8099999999995,60.0,28.659819032521867
emilianochinelli,ItauUruguay,2,2974.75,1487.375,5,4169.8099999999995,40.0,71.34018096747813
gustapelu,BankRepublicUruguay,1,200.0,200.0,1,200.0,100.0,100.0
juanjdp,HSBCuruguay,2,998.95,499.475,3,2320.99,66.66666666666666,43.03982352358261
juanjdp,SantanderUrug,1,1322.04,1322.04,3,2320.99,33.33333333333333,56.96017647641739
master1835,HSBCuruguay,3,9100.0,3033.3333333333335,3,9100.0,100.0,100.0
nacho11919,ItauUruguay,1,120.18,120.18,1,120.18,100.0,100.0
nacho9026,ItauUruguay,1,549.94,549.94,1,549.94,100.0,100.0
poul35,BankRepublicUruguay,1,156.1,156.1,2,309.73,50.0,50.39873438155813
poul35,OcaBlue,1,153.63,153.63,2,309.73,50.0,49.601265618441865
wyatt09,OcaBlue,1,184.35,184.35,1,184.35,100.0,100.0
xMellx,OcaBlue,1,306.94,306.94,1,306.94,100.0,100.0
