Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-3306a1ku,1,20510.88,20510.88,20510.88,456.0,44.98,,2025-03-21T19:35:54.000000-0300,2025-03-21T19:35:54.000000-0300,1,1,0,1.0,20510.88,,false,false,false,false,32.40244385971236,Bronze
P2P-9b7001cz,2,195.51999999999998,97.75999999999999,97.75999999999999,194.26,1.005,0.005656854249492385,2025-04-25T12:21:03.000000-0300,2025-04-26T21:56:02.000000-0300,1,1,1,1.0,97.75999999999999,0.0056287106960123245,false,true,false,false,32.20161834397487,Bronze
P2P-b5324bhc,1,20000.0,20000.0,20000.0,449.03,44.54,,2025-04-03T14:04:42.000000-0300,2025-04-03T14:04:42.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,32.01880354203463,Bronze
P2P-5f6ce2pi,1,20000.0,20000.0,20000.0,451.16,44.33,,2025-03-29T14:46:28.000000-0300,2025-03-29T14:46:28.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,32.01880354203463,Bronze
RAMZEZERG,1,20000.0,20000.0,20000.0,447.62,44.68,,2025-04-02T16:38:54.000000-0300,2025-04-02T16:38:54.000000-0300,1,1,0,1.0,20000.0,,false,false,false,false,32.01880354203463,Bronze
KiwichangeUY,2,20.09,10.045,10.045,20.14,0.998,0.0,2025-03-24T12:09:25.000000-0300,2025-03-24T12:14:13.000000-0300,1,1,0,2.0,20.09,0.0,false,true,true,false,32.015086388157975,Bronze
P2P-c7cb37yq,1,18028.57,18028.57,18028.57,389.05,46.34,,2025-04-06T19:35:31.000000-0300,2025-04-06T19:35:31.000000-0300,1,1,0,1.0,18028.57,,false,false,false,false,30.53837754869096,Bronze
P2P-295fdcys,1,18000.0,18000.0,18000.0,402.5,44.72,,2025-04-01T13:27:50.000000-0300,2025-04-01T13:27:50.000000-0300,1,1,0,1.0,18000.0,,false,false,false,false,30.516923187831164,Bronze
P2P-55cdd7ej,1,17643.0,17643.0,17643.0,396.47,44.5,,2025-03-25T16:10:11.000000-0300,2025-03-25T16:10:11.000000-0300,1,1,0,1.0,17643.0,,false,false,false,false,30.24883754460585,Bronze
P2P-85f40bca,1,17450.0,17450.0,17450.0,403.46,43.25,,2025-05-24T20:01:08.000000-0300,2025-05-24T20:01:08.000000-0300,1,1,0,1.0,17450.0,,false,false,false,false,30.103906090425212,Bronze
CryptooP2P-,1,15825.48,15825.48,15825.48,347.05,45.6,,2025-04-04T14:57:48.000000-0300,2025-04-04T14:57:48.000000-0300,1,1,0,1.0,15825.48,,false,false,false,false,28.88398875391991,Bronze
P2P-e982859p,1,15764.0,15764.0,15764.0,340.18,46.34,,2025-04-06T17:25:46.000000-0300,2025-04-06T17:25:46.000000-0300,1,1,0,1.0,15764.0,,false,false,false,false,28.837820951831695,Bronze
P2P-bee3bdla,1,15404.26,15404.26,15404.26,340.05,45.3,,2025-03-24T17:14:15.000000-0300,2025-03-24T17:14:15.000000-0300,1,1,0,1.0,15404.26,,false,false,false,false,28.56767773252112,Bronze
P2P-798968e1,1,15057.41,15057.41,15057.41,340.05,44.28,,2025-03-20T15:00:34.000000-0300,2025-03-20T15:00:34.000000-0300,1,1,0,1.0,15057.41,,false,false,false,false,28.30721413209338,Bronze
P2P-bb561bea,1,12426.48,12426.48,12426.48,263.05,47.24,,2025-04-13T20:01:40.000000-0300,2025-04-13T20:01:40.000000-0300,1,1,0,1.0,12426.48,,false,false,false,false,26.331543091951126,Bronze
P2P-2815b9b6,1,11381.44,11381.44,11381.44,254.05,44.8,,2025-03-22T11:53:40.000000-0300,2025-03-22T11:53:40.000000-0300,1,1,0,1.0,11381.44,,false,false,false,false,25.54678056927273,Bronze
P2P-b6f26baj,1,11077.67,11077.67,11077.67,264.51,41.88,,2025-05-23T13:32:22.000000-0300,2025-05-23T13:32:22.000000-0300,1,1,0,1.0,11077.67,,false,false,false,false,25.318667471674537,Bronze
P2P-8d9de39a,1,10777.15,10777.15,10777.15,250.05,43.1,,2025-05-17T15:08:59.000000-0300,2025-05-17T15:08:59.000000-0300,1,1,0,1.0,10777.15,,false,false,false,false,25.092994929651923,Bronze
P2P-850fa7su,1,10230.12,10230.12,10230.12,220.05,46.49,,2025-04-07T17:41:09.000000-0300,2025-04-07T17:41:09.000000-0300,1,1,0,1.0,10230.12,,false,false,false,false,24.682208124571964,Bronze
P2P-86f714gg,1,10000.0,10000.0,10000.0,223.81,44.68,,2025-04-02T16:24:48.000000-0300,2025-04-02T16:24:48.000000-0300,1,1,0,1.0,10000.0,,false,false,false,false,24.509401771017316,Bronze
Rodusdt,1,9038.25,9038.25,9038.25,200.05,45.18,,2025-03-05T16:35:19.000000-0300,2025-03-05T16:35:19.000000-0300,1,1,0,1.0,9038.25,,false,false,false,false,23.787185055689726,Bronze
ACEM_MVD,1,8980.0,8980.0,8980.0,201.11,44.65,,2025-03-17T18:30:04.000000-0300,2025-03-17T18:30:04.000000-0300,1,1,0,1.0,8980.0,,false,false,false,false,23.74344279037355,Bronze
P2P-e30816to,1,8854.41,8854.41,8854.41,213.0,41.57,,2025-05-19T17:21:05.000000-0300,2025-05-19T17:21:05.000000-0300,1,1,0,1.0,8854.41,,false,false,false,false,23.64913221353134,Bronze
P2P-320874cy,1,8652.16,8652.16,8652.16,200.05,43.25,,2025-05-24T17:55:56.000000-0300,2025-05-24T17:55:56.000000-0300,1,1,0,1.0,8652.16,,false,false,false,false,23.497254562712516,Bronze
JuanSH,1,8597.5,8597.5,8597.5,190.0,45.25,,2025-03-11T16:33:22.000000-0300,2025-03-11T16:33:22.000000-0300,1,1,0,1.0,8597.5,,false,false,false,false,23.456208172632138,Bronze
P2P-6ba210ay,1,8000.0,8000.0,8000.0,180.99,44.2,,2025-03-31T15:30:24.000000-0300,2025-03-31T15:30:24.000000-0300,1,1,0,1.0,8000.0,,false,false,false,false,23.00752141681385,Bronze
P2P-26235ct1,1,8000.0,8000.0,8000.0,181.69,44.03,,2025-05-10T21:56:25.000000-0300,2025-05-10T21:56:25.000000-0300,1,1,0,1.0,8000.0,,false,false,false,false,23.00752141681385,Bronze
P2P-883adezd,1,7150.0,7150.0,7150.0,165.89,43.1,,2025-05-17T16:26:07.000000-0300,2025-05-17T16:26:07.000000-0300,1,1,0,1.0,7150.0,,false,false,false,false,22.36922226627738,Bronze
