Counterparty,year_month,monthly_operations,monthly_volume,avg_monthly_volume,payment_methods_monthly
P2P-e30816to,2025-05,1,8854.41,8854.41,1
P2P-e982859p,2025-04,1,15764.0,15764.0,1
P2P-eaaa84sr,2025-05,1,131.0,131.0,1
P2P-eadba4ij,2025-04,1,22319.55,22319.55,1
P2P-ebb3acrk,2025-03,1,675.25,675.25,1
P2P-ed4f615u,2025-04,1,901.91,901.91,1
P2P-f75848v6,2025-04,1,21310.0,21310.0,1
P2P-f82ccbmg,2025-03,1,2813.73,2813.73,1
Papi Greco,2024-07,1,400.49,400.49,1
Papi Greco,2024-08,1,345.45,345.45,1
Perritomalvado,2025-03,1,109.39,109.39,1
RAMZEZERG,2025-04,1,20000.0,20000.0,1
Rodusdt,2025-03,1,9038.25,9038.25,1
Ronuk,2025-03,1,33512.23,33512.23,1
SEBROS,2025-03,1,2102.37,2102.37,1
SebaCripto,2024-10,1,341.12,341.12,1
Shorminoguez,2025-04,3,1085.0600000000002,361.6866666666667,1
Sllns,2025-04,1,281.65,281.65,1
Visequera,2025-05,1,1000.0,1000.0,1
Yolicm2,2025-03,1,140.0,140.0,1
andrewbit,2025-04,1,5531.0,5531.0,1
el_carpincho,2025-04,2,5000.0,2500.0,1
emilianochinelli,2024-07,4,1593.81,398.4525,2
emilianochinelli,2024-08,1,2576.0,2576.0,1
gustapelu,2025-05,1,200.0,200.0,1
juanjdp,2025-04,2,1820.99,910.495,2
juanjdp,2025-05,1,500.0,500.0,1
master1835,2024-07,3,9100.0,3033.3333333333335,1
nacho11919,2025-03,1,120.18,120.18,1
nacho9026,2024-12,1,549.94,549.94,1
poul35,2025-03,1,153.63,153.63,1
poul35,2025-04,1,156.1,156.1,1
wyatt09,2025-03,1,184.35,184.35,1
xMellx,2025-04,1,306.94,306.94,1
