Counterparty,total_sessions,avg_ops_per_session,avg_volume_per_session,max_ops_in_session,max_volume_in_session,avg_session_duration_minutes
P2P-85f40bca,1,1.0,12800.0,1,12800.0,0.0
P2P-6d8f04rk,1,1.0,27450.0,1,27450.0,0.0
P2P-6aed9d74,1,1.0,10000.0,1,10000.0,0.0
P2P-72528fj9,1,1.0,105718.14,1,105718.14,0.0
P2P-e81516zv,1,1.0,44240.19,1,44240.19,0.0
P2P-6dca87kb,1,1.0,15000.0,1,15000.0,0.0
P2P-ee12052y,1,1.0,11500.0,1,11500.0,0.0
P2P-39d1bcn0,1,1.0,13000.0,1,13000.0,0.0
P2P-cdf4eefj,1,1.0,6180.16,1,6180.16,0.0
P2P-f75848v6,1,1.0,21310.0,1,21310.0,0.0
P2P-c61f9dvk,1,1.0,20000.0,1,20000.0,0.0
P2P-5de988uv,1,1.0,100.0,1,100.0,0.0
NicoGonzalezUy,1,1.0,21902.19,1,21902.19,0.0
chelo,1,1.0,1000.0,1,1000.0,0.0
P2P-688f27in,1,1.0,18932.03,1,18932.03,0.0
P2P-06f7efvb,1,1.0,103.65,1,103.65,0.0
P2P-2912c707,1,1.0,20000.0,1,20000.0,0.0
P2P-3e70287h,1,1.0,4000.0,1,4000.0,0.0
P2P-3d94c5q9,1,1.0,6500.0,1,6500.0,0.0
juanisantana,1,2.0,600.0,2,600.0,18.9
P2P-91057azg,1,1.0,14063.34,1,14063.34,0.0
JaviCambio,1,1.0,10982.25,1,10982.25,0.0
P2P-5f308diy,1,1.0,13718.95,1,13718.95,0.0
P2P-ff54fa0s,1,1.0,14900.0,1,14900.0,0.0
P2P-2efb3agn,1,1.0,117000.0,1,117000.0,0.0
P2P-6a9e59sy,1,1.0,4494.5,1,4494.5,0.0
Falvez86,1,1.0,9448.04,1,9448.04,0.0
puppet02,1,1.0,2500.0,1,2500.0,0.0
P2P-eaef2b3q,1,1.0,37633.32,1,37633.32,0.0
P2P-a3e0664r,1,1.0,2000.0,1,2000.0,0.0
P2P-3ba6absy,1,1.0,4900.0,1,4900.0,0.0
P2P-a1e404h2,1,1.0,17000.0,1,17000.0,0.0
JorgePerozo,1,1.0,208.25,1,208.25,0.0
P2P-26e006xl,1,1.0,60000.0,1,60000.0,0.0
P2P-ab01a3gj,1,1.0,51139.49,1,51139.49,0.0
P2P-2f438e0q,1,1.0,5000.0,1,5000.0,0.0
P2P-3dca90jq,1,1.0,736.32,1,736.32,0.0
Ganamosss,1,1.0,20000.0,1,20000.0,0.0
P2P-abd0c8n7,1,1.0,4430.0,1,4430.0,0.0
P2P-db4843fh,1,1.0,1250.0,1,1250.0,0.0
P2P-a54b1fiz,1,1.0,10000.0,1,10000.0,0.0
P2P-ee3e94uv,1,1.0,32060.34,1,32060.34,0.0
P2P-6c79d2ws,1,1.0,14704.85,1,14704.85,0.0
P2P-2caf952c,1,1.0,21789.0,1,21789.0,0.0
P2P-5cee5cyo,1,1.0,6146.79,1,6146.79,0.0
P2P-9e22817n,1,1.0,8792.19,1,8792.19,0.0
Elhombregsto,1,1.0,20000.0,1,20000.0,0.0
P2P-aad9deml,1,1.0,6198.79,1,6198.79,0.0
Agucrypto,1,1.0,6655.0,1,6655.0,0.0
deoh23,1,1.0,45250.0,1,45250.0,0.0
P2P-8d106fyd,1,1.0,200.0,1,200.0,0.0
