Counterparty,total_operations,total_volume,avg_volume_per_op,median_volume_per_op,total_quantity,avg_price,std_price,first_operation,last_operation,payment_methods_used,operation_types,days_active,operations_per_day,volume_per_day,price_cv,high_volume_vip,high_frequency_vip,daily_trader,long_term_trader,vip_score,vip_tier
P2P-e5e102xw,1,28000.0,28000.0,28000.0,596.76,46.92,,2025-04-14T12:12:00.000000-0300,2025-04-14T12:12:00.000000-0300,1,1,0,1.0,28000.0,,false,false,false,false,37.866356205095414,Bronze
P2P-6d8f04rk,1,27450.0,27450.0,27450.0,587.54,46.72,,2025-04-09T17:15:53.000000-0300,2025-04-09T17:15:53.000000-0300,1,1,0,1.0,27450.0,,false,false,false,false,37.456481351066756,Bronze
P2P-f1cdffvf,7,6652.200000000001,950.3142857142858,1038.05,6398.67,1.0411428571428571,0.008315218406203013,2025-05-08T19:32:31.000000-0300,2025-05-10T11:13:16.000000-0300,1,1,1,3.5,3326.1000000000004,0.007986625801786648,false,true,true,false,37.01219361867422,Bronze
P2P-eafc4fyo,1,26204.73,26204.73,26204.73,560.05,46.79,,2025-04-14T14:30:58.000000-0300,2025-04-14T14:30:58.000000-0300,1,1,0,1.0,26204.73,,false,false,false,false,36.52847251565535,Bronze
P2P-62b1d38x,1,23402.34,23402.34,23402.34,500.05,46.8,,2025-04-10T12:09:44.000000-0300,2025-04-10T12:09:44.000000-0300,1,1,0,1.0,23402.34,,false,false,false,false,34.44005580259831,Bronze
P2P-416c79m4,1,23257.44,23257.44,23257.44,495.05,46.98,,2025-04-08T16:52:09.000000-0300,2025-04-08T16:52:09.000000-0300,1,1,0,1.0,23257.44,,false,false,false,false,34.33207240923694,Bronze
P2P-06cf0eb7,1,23074.74,23074.74,23074.74,493.05,46.8,,2025-04-09T14:14:23.000000-0300,2025-04-09T14:14:23.000000-0300,1,1,0,1.0,23074.74,,false,false,false,false,34.19591943499869,Bronze
P2P-910f6dcw,1,23008.24,23008.24,23008.24,487.05,47.24,,2025-04-09T19:37:39.000000-0300,2025-04-09T19:37:39.000000-0300,1,1,0,1.0,23008.24,,false,false,false,false,34.14636183901159,Bronze
P2P-c2ec99nk,1,22420.0,22420.0,22420.0,501.34,44.72,,2025-04-01T12:54:53.000000-0300,2025-04-01T12:54:53.000000-0300,1,1,0,1.0,22420.0,,false,false,false,false,33.70798950422283,Bronze
P2P-a8323cji,1,22379.82,22379.82,22379.82,504.05,44.4,,2025-03-30T20:44:27.000000-0300,2025-03-30T20:44:27.000000-0300,1,1,0,1.0,22379.82,,false,false,false,false,33.67804628306852,Bronze
