session_id,num_operations,total_volume,avg_volume_per_op,total_quantity,session_start,session_end,unique_counterparties,dominant_fiat,dominant_asset,duration_minutes,operations_per_hour,volume_per_minute
104,1,3300.0,3300.0,3179.19,2022-08-03T11:59:14.000000-0300,2022-08-03T11:59:14.000000-0300,1,USD,USDT,0.0,100.0,330000.0
105,1,500.0,500.0,481.69,2022-08-03T12:44:00.000000-0300,2022-08-03T12:44:00.000000-0300,1,USD,USDT,0.0,100.0,50000.0
106,1,1055.21,1055.21,100019944.156,2022-08-04T12:03:51.000000-0300,2022-08-04T12:03:51.000000-0300,1,USD,BUSD,0.0,100.0,105521.0
107,2,57813.270000000004,28906.635000000002,1364.7,2022-08-04T15:07:08.000000-0300,2022-08-04T15:24:18.000000-0300,1,UYU,USDT,17.166666666666668,6.990291262135921,3367.763300970874
108,1,350.0,350.0,337.18,2022-08-05T17:24:44.000000-0300,2022-08-05T17:24:44.000000-0300,1,USD,USDT,0.0,100.0,35000.0
109,1,900.0,900.0,866.21,2022-08-06T12:02:39.000000-0300,2022-08-06T12:02:39.000000-0300,1,USD,USDT,0.0,100.0,90000.0
110,1,600.0,600.0,13.79,2022-08-08T21:24:45.000000-0300,2022-08-08T21:24:45.000000-0300,1,UYU,USDT,0.0,100.0,60000.0
111,1,1500.0,1500.0,1445.08,2022-08-09T13:28:36.000000-0300,2022-08-09T13:28:36.000000-0300,1,USD,USDT,0.0,100.0,150000.0
112,1,76.87,76.87,76.87,2022-08-10T12:47:02.000000-0300,2022-08-10T12:47:02.000000-0300,1,USD,USDT,0.0,100.0,7687.0
113,1,50.0,50.0,48.12,2022-08-12T14:53:17.000000-0300,2022-08-12T14:53:17.000000-0300,1,USD,USDT,0.0,100.0,5000.0
114,1,50.0,50.0,47.16,2022-08-14T17:21:20.000000-0300,2022-08-14T17:21:20.000000-0300,1,USD,USDT,0.0,100.0,5000.0
115,1,2958.0,2958.0,3000.0,2022-08-17T12:40:33.000000-0300,2022-08-17T12:40:33.000000-0300,1,USD,BUSD,0.0,100.0,295800.0
116,1,200.0,200.0,191.57,2022-08-17T16:51:59.000000-0300,2022-08-17T16:51:59.000000-0300,1,USD,USDT,0.0,100.0,20000.0
117,1,305.0,305.0,293.55,2022-08-18T14:13:50.000000-0300,2022-08-18T14:13:50.000000-0300,1,USD,USDT,0.0,100.0,30500.0
118,1,580.0,580.0,558.22,2022-08-19T13:39:51.000000-0300,2022-08-19T13:39:51.000000-0300,1,USD,USDT,0.0,100.0,58000.0
119,1,2600.0,2600.0,2441.31,2022-08-19T15:50:26.000000-0300,2022-08-19T15:50:26.000000-0300,1,USD,USDT,0.0,100.0,260000.0
120,1,200.0,200.0,186.91,2022-08-19T17:11:02.000000-0300,2022-08-19T17:11:02.000000-0300,1,USD,USDT,0.0,100.0,20000.0
121,1,1130.0,1130.0,1051.16,2022-08-20T13:40:24.000000-0300,2022-08-20T13:40:24.000000-0300,1,USD,USDT,0.0,100.0,113000.0
122,1,300.0,300.0,288.73,2022-08-23T15:23:51.000000-0300,2022-08-23T15:23:51.000000-0300,1,USD,USDT,0.0,100.0,30000.0
123,1,47436.2,47436.2,1093.0,2022-08-24T17:50:46.000000-0300,2022-08-24T17:50:46.000000-0300,1,UYU,USDT,0.0,100.0,4743620.0
124,1,107.0,107.0,100.0,2022-08-25T10:40:53.000000-0300,2022-08-25T10:40:53.000000-0300,1,USD,USDT,0.0,100.0,10700.0
125,1,4140.0,4140.0,4000.0,2022-08-25T17:56:18.000000-0300,2022-08-25T17:56:18.000000-0300,1,USD,USDT,0.0,100.0,414000.0
126,1,350.0,350.0,336.86,2022-08-26T16:11:22.000000-0300,2022-08-26T16:11:22.000000-0300,1,USD,USDT,0.0,100.0,35000.0
127,1,110.0,110.0,102.32,2022-08-29T04:29:04.000000-0300,2022-08-29T04:29:04.000000-0300,1,USD,USDT,0.0,100.0,11000.0
128,1,478.0,478.0,455.67,2022-08-31T13:19:03.000000-0300,2022-08-31T13:19:03.000000-0300,1,USD,USDT,0.0,100.0,47800.0
129,1,108.5,108.5,100.0,2022-08-31T23:17:23.000000-0300,2022-08-31T23:17:23.000000-0300,1,USD,USDT,0.0,100.0,10850.0
130,1,312.0,312.0,300.28,2022-09-01T20:54:14.000000-0300,2022-09-01T20:54:14.000000-0300,1,USD,USDT,0.0,100.0,31200.0
131,1,4999.99,4999.99,5025.12,2022-09-03T14:35:03.000000-0300,2022-09-03T14:35:03.000000-0300,1,USD,USDT,0.0,100.0,499998.99999999994
132,2,25050.0,12525.0,621.58,2022-09-05T20:58:24.000000-0300,2022-09-05T21:14:18.000000-0300,1,USD,USDT,15.9,7.547169811320754,1575.4716981132076
133,1,390.0,390.0,375.36,2022-09-06T15:18:50.000000-0300,2022-09-06T15:18:50.000000-0300,1,USD,USDT,0.0,100.0,39000.0
134,1,6000.0,6000.0,139.08,2022-09-08T14:18:28.000000-0300,2022-09-08T14:18:28.000000-0300,1,UYU,USDT,0.0,100.0,600000.0
135,1,2500.0,2500.0,2347.41,2022-09-08T19:58:46.000000-0300,2022-09-08T19:58:46.000000-0300,1,USD,USDT,0.0,100.0,250000.0
136,1,100.0,100.0,93.89,2022-09-08T22:58:08.000000-0300,2022-09-08T22:58:08.000000-0300,1,USD,USDT,0.0,100.0,10000.0
137,1,4500.0,4500.0,103.68,2022-09-10T12:48:32.000000-0300,2022-09-10T12:48:32.000000-0300,1,UYU,USDT,0.0,100.0,450000.0
138,1,1059.67,1059.67,995.0,2022-09-10T15:28:06.000000-0300,2022-09-10T15:28:06.000000-0300,1,USD,USDT,0.0,100.0,105967.0
139,1,70.0,70.0,64.51,2022-09-13T11:06:50.000000-0300,2022-09-13T11:06:50.000000-0300,1,USD,USDT,0.0,100.0,7000.0
140,1,17000.0,17000.0,394.24,2022-09-13T12:54:31.000000-0300,2022-09-13T12:54:31.000000-0300,1,UYU,USDT,0.0,100.0,1700000.0
141,2,285.0,142.5,268.78000000000003,2022-09-13T13:56:16.000000-0300,2022-09-13T14:10:26.000000-0300,1,USD,USDT,14.166666666666666,8.470588235294118,20.11764705882353
142,1,10000.0,10000.0,232.66,2022-09-13T22:50:38.000000-0300,2022-09-13T22:50:38.000000-0300,1,UYU,USDT,0.0,100.0,1000000.0
143,1,15241.0,15241.0,351.98,2022-09-14T10:08:31.000000-0300,2022-09-14T10:08:31.000000-0300,1,UYU,USDT,0.0,100.0,1524100.0
144,2,61300.0,30650.0,1691.02,2022-09-14T13:22:37.000000-0300,2022-09-14T13:47:25.000000-0300,1,UYU,USDT,24.8,4.838709677419355,2471.774193548387
145,1,197.0,197.0,189.6,2022-09-14T18:47:01.000000-0300,2022-09-14T18:47:01.000000-0300,1,USD,USDT,0.0,100.0,19700.0
146,1,1000.0,1000.0,962.46,2022-09-15T12:38:05.000000-0300,2022-09-15T12:38:05.000000-0300,1,USD,USDT,0.0,100.0,100000.0
147,1,2900.0,2900.0,2723.0,2022-09-15T17:37:25.000000-0300,2022-09-15T17:37:25.000000-0300,1,USD,USDT,0.0,100.0,290000.0
148,1,4500.0,4500.0,104.65,2022-09-15T23:35:53.000000-0300,2022-09-15T23:35:53.000000-0300,1,UYU,USDT,0.0,100.0,450000.0
149,2,3200.0,1600.0,3037.8199999999997,2022-09-16T16:16:49.000000-0300,2022-09-16T16:29:20.000000-0300,1,USD,USDT,12.516666666666666,9.587217043941413,255.659121171771
150,1,4500.0,4500.0,103.56,2022-09-17T22:53:28.000000-0300,2022-09-17T22:53:28.000000-0300,1,UYU,USDT,0.0,100.0,450000.0
151,1,600.0,600.0,13.95,2022-09-19T16:16:14.000000-0300,2022-09-19T16:16:14.000000-0300,1,UYU,USDT,0.0,100.0,60000.0
152,1,103.8,103.8,100.0,2022-09-19T16:57:45.000000-0300,2022-09-19T16:57:45.000000-0300,1,USD,USDT,0.0,100.0,10380.0
153,1,240.0,240.0,231.21,2022-09-20T01:04:01.000000-0300,2022-09-20T01:04:01.000000-0300,1,USD,USDT,0.0,100.0,24000.0
154,2,1686.0,843.0,1622.7,2022-09-20T15:54:46.000000-0300,2022-09-20T15:56:49.000000-0300,1,USD,USDT,2.05,58.53658536585366,822.439024390244
155,1,1380.38,1380.38,1399.97,2022-09-20T16:57:45.000000-0300,2022-09-20T16:57:45.000000-0300,1,USD,USDT,0.0,100.0,138038.0
156,1,100.0,100.0,96.33,2022-09-21T18:43:00.000000-0300,2022-09-21T18:43:00.000000-0300,1,USD,USDT,0.0,100.0,10000.0
157,1,9000.0,9000.0,204.54,2022-09-22T15:51:32.000000-0300,2022-09-22T15:51:32.000000-0300,1,UYU,USDT,0.0,100.0,900000.0
158,1,88369.3,88369.3,2008.39,2022-09-23T19:29:32.000000-0300,2022-09-23T19:29:32.000000-0300,1,UYU,USDT,0.0,100.0,8836930.0
159,1,215.0,215.0,198.15,2022-09-27T22:58:47.000000-0300,2022-09-27T22:58:47.000000-0300,1,USD,USDT,0.0,100.0,21500.0
160,1,779.25,779.25,750.0,2022-09-29T17:21:06.000000-0300,2022-09-29T17:21:06.000000-0300,1,USD,USDT,0.0,100.0,77925.0
161,1,1141.8,1141.8,1100.0,2022-09-30T14:53:34.000000-0300,2022-09-30T14:53:34.000000-0300,1,USD,USDT,0.0,100.0,114180.0
162,1,4000.0,4000.0,91.95,2022-09-30T15:27:24.000000-0300,2022-09-30T15:27:24.000000-0300,1,UYU,USDT,0.0,100.0,400000.0
163,1,500.0,500.0,481.23,2022-09-30T23:20:56.000000-0300,2022-09-30T23:20:56.000000-0300,1,USD,USDT,0.0,100.0,50000.0
164,1,2000.0,2000.0,1843.31,2022-10-01T22:00:27.000000-0300,2022-10-01T22:00:27.000000-0300,1,USD,USDT,0.0,100.0,200000.0
165,1,100.0,100.0,96.24,2022-10-04T21:00:54.000000-0300,2022-10-04T21:00:54.000000-0300,1,USD,USDT,0.0,100.0,10000.0
166,1,32.13,32.13,35.7,2022-10-06T08:22:14.000000-0300,2022-10-06T08:22:14.000000-0300,1,USD,USDT,0.0,100.0,3213.0
167,1,10060.0,10060.0,232.06,2022-10-06T20:22:58.000000-0300,2022-10-06T20:22:58.000000-0300,1,UYU,USDT,0.0,100.0,1006000.0
168,1,271.85,271.85,301.73,2022-10-07T06:35:01.000000-0300,2022-10-07T06:35:01.000000-0300,1,USD,USDT,0.0,100.0,27185.0
169,1,32500.0,32500.0,747.12,2022-10-07T16:30:06.000000-0300,2022-10-07T16:30:06.000000-0300,1,UYU,USDT,0.0,100.0,3250000.0
170,1,5000.0,5000.0,114.54,2022-10-07T19:21:47.000000-0300,2022-10-07T19:21:47.000000-0300,1,UYU,USDT,0.0,100.0,500000.0
171,1,12000.0,12000.0,274.28,2022-10-07T20:27:06.000000-0300,2022-10-07T20:27:06.000000-0300,1,UYU,USDT,0.0,100.0,1200000.0
172,1,96.12,96.12,106.8,2022-10-08T16:34:08.000000-0300,2022-10-08T16:34:08.000000-0300,1,USD,USDT,0.0,100.0,9612.0
173,1,180.0,180.0,200.0,2022-10-09T15:42:07.000000-0300,2022-10-09T15:42:07.000000-0300,1,USD,USDT,0.0,100.0,18000.0
