session_id,num_operations,total_volume,volume_volatility,q75_volume,q25_volume,session_start,session_end,duration_minutes,volume_iqr,volume_efficiency,consistency_score,intensity_score
116,1,200.0,,200.0,200.0,2022-08-17T16:51:59.000000-0300,2022-08-17T16:51:59.000000-0300,0.0,0.0,20000.0,,100.0
122,1,300.0,,300.0,300.0,2022-08-23T15:23:51.000000-0300,2022-08-23T15:23:51.000000-0300,0.0,0.0,30000.0,,100.0
890,1,501.0,,501.0,501.0,2024-06-02T13:18:40.000000-0300,2024-06-02T13:18:40.000000-0300,0.0,0.0,50100.0,,100.0
524,3,1184.0,282.75489975123924,719.0,265.0,2023-11-17T22:34:29.000000-0300,2023-11-17T22:46:42.000000-0300,12.216666666666667,454.0,96.91678035470669,4.187372176544612,0.24556616643929058
780,1,400.0,,400.0,400.0,2024-03-08T17:40:45.000000-0300,2024-03-08T17:40:45.000000-0300,0.0,0.0,40000.0,,100.0
631,1,3000.0,,3000.0,3000.0,2023-12-10T23:49:11.000000-0300,2023-12-10T23:49:11.000000-0300,0.0,0.0,300000.0,,100.0
768,1,400.0,,400.0,400.0,2024-02-27T14:28:37.000000-0300,2024-02-27T14:28:37.000000-0300,0.0,0.0,40000.0,,100.0
104,1,3300.0,,3300.0,3300.0,2022-08-03T11:59:14.000000-0300,2022-08-03T11:59:14.000000-0300,0.0,0.0,330000.0,,100.0
113,1,50.0,,50.0,50.0,2022-08-12T14:53:17.000000-0300,2022-08-12T14:53:17.000000-0300,0.0,0.0,5000.0,,100.0
1048,1,2000.0,,2000.0,2000.0,2025-05-01T15:01:51.000000-0300,2025-05-01T15:01:51.000000-0300,0.0,0.0,200000.0,,100.0
390,1,100.0,,100.0,100.0,2023-09-16T14:56:47.000000-0300,2023-09-16T14:56:47.000000-0300,0.0,0.0,10000.0,,100.0
911,1,500.0,,500.0,500.0,2024-07-14T17:33:24.000000-0300,2024-07-14T17:33:24.000000-0300,0.0,0.0,50000.0,,100.0
515,1,1180.0,,1180.0,1180.0,2023-11-13T17:34:09.000000-0300,2023-11-13T17:34:09.000000-0300,0.0,0.0,118000.0,,100.0
393,1,200.0,,200.0,200.0,2023-09-19T12:44:34.000000-0300,2023-09-19T12:44:34.000000-0300,0.0,0.0,20000.0,,100.0
366,1,2247.91,,2247.91,2247.91,2023-08-04T10:25:08.000000-0300,2023-08-04T10:25:08.000000-0300,0.0,0.0,224790.99999999997,,100.0
914,1,500.0,,500.0,500.0,2024-07-17T17:13:49.000000-0300,2024-07-17T17:13:49.000000-0300,0.0,0.0,50000.0,,100.0
128,1,478.0,,478.0,478.0,2022-08-31T13:19:03.000000-0300,2022-08-31T13:19:03.000000-0300,0.0,0.0,47800.0,,100.0
101,2,1010.0,7.0710678118654755,510.0,500.0,2022-07-29T14:13:40.000000-0300,2022-07-29T14:28:31.000000-0300,14.85,10.0,68.01346801346801,100.0,0.13468013468013468
655,2,450.0,35.35533905932738,250.0,200.0,2023-12-15T10:36:56.000000-0300,2023-12-15T10:56:38.000000-0300,19.7,50.0,22.84263959390863,12.727922061357853,0.10152284263959391
899,1,449.0,,449.0,449.0,2024-06-08T22:07:19.000000-0300,2024-06-08T22:07:19.000000-0300,0.0,0.0,44900.0,,100.0
1036,1,28000.0,,28000.0,28000.0,2025-04-14T12:12:00.000000-0300,2025-04-14T12:12:00.000000-0300,0.0,0.0,2800000.0,,100.0
1042,5,30413.920000000002,476.87313997540286,6243.06,6180.16,2025-04-15T19:27:04.000000-0300,2025-04-15T20:17:25.000000-0300,50.35,62.900000000000546,604.050049652433,63.777800531119766,0.09930486593843098
1039,3,76978.36,5907.442352374955,30000.0,28046.33,2025-04-14T19:34:29.000000-0300,2025-04-14T19:55:43.000000-0300,21.233333333333334,1953.6699999999983,3625.354474097331,13.030742478435288,0.14128728414442698
500,1,500.0,,500.0,500.0,2023-11-06T18:39:44.000000-0300,2023-11-06T18:39:44.000000-0300,0.0,0.0,50000.0,,100.0
384,1,4228.79,,4228.79,4228.79,2023-08-27T18:00:33.000000-0300,2023-08-27T18:00:33.000000-0300,0.0,0.0,422879.0,,100.0
1030,3,43257.34,507.28689962715725,15000.0,14194.0,2025-04-09T20:58:43.000000-0300,2025-04-09T21:43:43.000000-0300,45.0,806.0,961.2742222222222,85.27194380890384,0.06666666666666667
652,1,2400.0,,2400.0,2400.0,2023-12-14T15:09:13.000000-0300,2023-12-14T15:09:13.000000-0300,0.0,0.0,240000.0,,100.0
640,3,68731.62,18977.773741374407,34185.3,33546.32,2023-12-13T11:50:32.000000-0300,2023-12-13T12:29:46.000000-0300,39.233333333333334,638.9800000000032,1751.8679694137636,3.621690348755434,0.07646559048428207
896,1,1300.0,,1300.0,1300.0,2024-06-05T16:54:09.000000-0300,2024-06-05T16:54:09.000000-0300,0.0,0.0,130000.0,,100.0
494,1,300.0,,300.0,300.0,2023-11-05T12:56:27.000000-0300,2023-11-05T12:56:27.000000-0300,0.0,0.0,30000.0,,100.0
628,2,60000.0,0.0,30000.0,30000.0,2023-12-09T20:03:59.000000-0300,2023-12-09T20:15:50.000000-0300,11.85,0.0,5063.291139240507,100.0,0.16877637130801687
