Counterparty,payment_method,operations_with_method,volume_with_method,avg_volume_with_method,total_operations_cp,total_volume_cp,pct_operations,pct_volume
P2P-863acelf,SantanderUrug,2,60000.0,30000.0,3,90000.0,66.66666666666666,66.66666666666666
P2P-863acelf,OcaBlue,1,30000.0,30000.0,3,90000.0,33.33333333333333,33.33333333333333
P2P-8d106fyd,SantanderUrug,1,200.0,200.0,1,200.0,100.0,100.0
P2P-8dfecavb,OcaBlue,2,42019.65,21009.825,2,42019.65,100.0,100.0
P2P-8ee834xt,SantanderUrug,1,13200.0,13200.0,1,13200.0,100.0,100.0
P2P-9003fcxt,ScotiabankUruguay,1,8500.0,8500.0,1,8500.0,100.0,100.0
P2P-901346g0,SantanderUrug,2,36057.14,18028.57,2,36057.14,100.0,100.0
P2P-91057azg,ScotiabankUruguay,1,14063.34,14063.34,1,14063.34,100.0,100.0
P2P-910f6dcw,ItauUruguay,1,23008.24,23008.24,1,23008.24,100.0,100.0
P2P-9270afkm,ItauUruguay,2,47000.0,23500.0,2,47000.0,100.0,100.0
P2P-9680313t,SantanderUrug,1,38000.0,38000.0,1,38000.0,100.0,100.0
P2P-990840cs,ItauUruguay,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-9b9f5fqt,ItauUruguay,1,6000.0,6000.0,1,6000.0,100.0,100.0
P2P-9bf649pi,ItauUruguay,2,75283.32,37641.66,2,75283.32,100.0,100.0
P2P-9c2db2zh,SantanderUrug,1,5266.99,5266.99,1,5266.99,100.0,100.0
P2P-9e22817n,ScotiabankUruguay,1,8792.19,8792.19,1,8792.19,100.0,100.0
P2P-9e6860ta,BBVAUruguay,1,8945.4,8945.4,1,8945.4,100.0,100.0
P2P-a1e404h2,ItauUruguay,1,17000.0,17000.0,1,17000.0,100.0,100.0
P2P-a3e0664r,ItauUruguay,1,2000.0,2000.0,1,2000.0,100.0,100.0
P2P-a54b1fiz,OcaBlue,1,10000.0,10000.0,1,10000.0,100.0,100.0
P2P-a8323cji,BBVAUruguay,1,22379.82,22379.82,1,22379.82,100.0,100.0
P2P-a8a629np,SantanderUrug,1,7630.0,7630.0,1,7630.0,100.0,100.0
P2P-aad9deml,OcaBlue,1,6198.79,6198.79,1,6198.79,100.0,100.0
P2P-ab01a3gj,OcaBlue,1,51139.49,51139.49,1,51139.49,100.0,100.0
P2P-abb7fctk,BBVAUruguay,1,800.0,800.0,1,800.0,100.0,100.0
P2P-abd0c8n7,OcaBlue,1,4430.0,4430.0,1,4430.0,100.0,100.0
P2P-adaaf6mb,ItauUruguay,1,4000.0,4000.0,1,4000.0,100.0,100.0
P2P-ae7b0fif,ItauUruguay,1,6000.0,6000.0,1,6000.0,100.0,100.0
P2P-b19fd5fi,ScotiabankUruguay,1,330.0,330.0,1,330.0,100.0,100.0
P2P-b288d9dc,SantanderUrug,1,5520.0,5520.0,1,5520.0,100.0,100.0
P2P-b46c86hw,BBVAUruguay,1,37500.0,37500.0,1,37500.0,100.0,100.0
P2P-b4c861qe,BBVAUruguay,1,17218.15,17218.15,1,17218.15,100.0,100.0
P2P-b81178qo,ScotiabankUruguay,1,2100.0,2100.0,1,2100.0,100.0,100.0
P2P-b9e8bd97,ItauUruguay,1,19500.0,19500.0,1,19500.0,100.0,100.0
P2P-bf6eecot,BBVAUruguay,1,53746.98,53746.98,1,53746.98,100.0,100.0
P2P-c28e3bgg,OcaBlue,1,100.0,100.0,1,100.0,100.0,100.0
P2P-c2ec99nk,ItauUruguay,1,22420.0,22420.0,1,22420.0,100.0,100.0
P2P-c498ee3q,ItauUruguay,1,572.0,572.0,1,572.0,100.0,100.0
P2P-c61f9dvk,OcaBlue,1,20000.0,20000.0,1,20000.0,100.0,100.0
P2P-c9b50df9,OcaBlue,2,11718.0,5859.0,2,11718.0,100.0,100.0
P2P-cb4aacxy,SantanderUrug,1,6585.0,6585.0,1,6585.0,100.0,100.0
P2P-cc12c4gn,ItauUruguay,1,37769.5,37769.5,1,37769.5,100.0,100.0
P2P-cdf4eefj,BBVAUruguay,1,6180.16,6180.16,1,6180.16,100.0,100.0
P2P-ce9ad80r,ItauUruguay,1,46100.0,46100.0,1,46100.0,100.0,100.0
P2P-d08921gg,SantanderUrug,1,18200.0,18200.0,1,18200.0,100.0,100.0
P2P-d14daccb,OcaBlue,1,79955.0,79955.0,1,79955.0,100.0,100.0
P2P-d3325cfj,ItauUruguay,2,16000.0,8000.0,2,16000.0,100.0,100.0
P2P-d531f4lo,ItauUruguay,1,550.0,550.0,1,550.0,100.0,100.0
P2P-d6fe8d6c,BBVAUruguay,1,20350.0,20350.0,1,20350.0,100.0,100.0
P2P-daf17dok,OcaBlue,1,37633.32,37633.32,1,37633.32,100.0,100.0
P2P-db4843fh,BBVAUruguay,1,1250.0,1250.0,1,1250.0,100.0,100.0
P2P-e097b84k,ScotiabankUruguay,1,21700.0,21700.0,1,21700.0,100.0,100.0
P2P-e5e102xw,ItauUruguay,1,28000.0,28000.0,1,28000.0,100.0,100.0
P2P-e81516zv,ScotiabankUruguay,1,44240.19,44240.19,1,44240.19,100.0,100.0
P2P-e95c93ib,Prex,1,250.76,250.76,1,250.76,100.0,100.0
P2P-eaef2b3q,ItauUruguay,1,37633.32,37633.32,1,37633.32,100.0,100.0
P2P-eafc4fyo,OcaBlue,1,26204.73,26204.73,1,26204.73,100.0,100.0
P2P-eb9a1db5,ItauUruguay,1,54375.64,54375.64,1,54375.64,100.0,100.0
P2P-ec17d7ic,Prex,1,191.18,191.18,1,191.18,100.0,100.0
P2P-ee12052y,ItauUruguay,1,11500.0,11500.0,1,11500.0,100.0,100.0
P2P-ee3e94uv,SantanderUrug,1,32060.34,32060.34,1,32060.34,100.0,100.0
P2P-f098e2bh,SantanderUrug,1,33260.0,33260.0,1,33260.0,100.0,100.0
P2P-f1cdffvf,ScotiabankUruguay,7,6652.200000000001,950.3142857142858,7,6652.200000000001,100.0,100.0
P2P-f75848v6,ItauUruguay,1,21310.0,21310.0,1,21310.0,100.0,100.0
P2P-f8a5fcbs,OcaBlue,1,15000.0,15000.0,1,15000.0,100.0,100.0
P2P-f979d8yq,Prex,1,216.45,216.45,1,216.45,100.0,100.0
P2P-fbbb88zh,OcaBlue,1,21500.0,21500.0,1,21500.0,100.0,100.0
P2P-ff54fa0s,ItauUruguay,1,14900.0,14900.0,1,14900.0,100.0,100.0
Rikimaffei,,1,1500.0,1500.0,1,1500.0,100.0,100.0
SebaCripto,SantanderUrug,1,350.0,350.0,1,350.0,100.0,100.0
Secure-n-Fast,ItauUruguay,1,200.0,200.0,1,200.0,100.0,100.0
UruguayChange,BBVAUruguay,1,22000.0,22000.0,1,22000.0,100.0,100.0
Zyskie,SantanderUrug,1,16000.0,16000.0,1,16000.0,100.0,100.0
arielo,OcaBlue,1,62000.0,62000.0,1,62000.0,100.0,100.0
chelo,SantanderUrug,1,1000.0,1000.0,1,1000.0,100.0,100.0
deoh23,SantanderUrug,1,45250.0,45250.0,1,45250.0,100.0,100.0
derkodierer,ItauUruguay,1,30000.0,30000.0,1,30000.0,100.0,100.0
facundo_cardona,ItauUruguay,1,7500.0,7500.0,1,7500.0,100.0,100.0
fbarrios,ScotiabankUruguay,1,300.0,300.0,1,300.0,100.0,100.0
hrgonzalez7,SantanderUrug,1,300.0,300.0,1,300.0,100.0,100.0
juanisantana,,2,600.0,300.0,2,600.0,100.0,100.0
miisvo,OcaBlue,1,227.0,227.0,1,227.0,100.0,100.0
pabliito07,ItauUruguay,1,4480.0,4480.0,1,4480.0,100.0,100.0
puppet02,ItauUruguay,1,2500.0,2500.0,1,2500.0,100.0,100.0
rmendez78,OcaBlue,1,105.68,105.68,1,105.68,100.0,100.0
